subjectCode,subjectName,semester,course
TCS101,subject 11,1,Btech CSE
TCS102,subject 12,1,Btech CSE
TCS103,subject 13,1,Btech CSE
TCS104,subject 14,1,Btech CSE
TCS105,subject 15,1,Btech CSE
TCS201,subject 21,2,Btech CSE
TCS202,subject 22,2,Btech CSE
TCS203,subject 23,2,Btech CSE
TCS204,subject 24,2,Btech CSE
TCS205,subject 25,2,Btech CSE
TCS301,subject 31,3,Btech CSE
TCS302,subject 32,3,Btech CSE
TCS303,subject 33,3,Btech CSE
TCS304,subject 34,3,Btech CSE
TCS305,subject 35,3,Btech CSE
TCS401,subject 41,4,Btech CSE
TCS402,subject 42,4,Btech CSE
TCS403,subject 43,4,Btech CSE
TCS404,subject 44,4,Btech CSE
TCS405,subject 45,4,Btech CSE
TCS501,subject 51,5,Btech CSE
TCS502,subject 52,5,Btech CSE
TCS503,subject 53,5,Btech CSE
TCS504,subject 54,5,Btech CSE
TCS505,subject 55,5,Btech CSE
TCS601,subject 61,6,Btech CSE
TCS602,subject 62,6,Btech CSE
TCS603,subject 63,6,Btech CSE
TCS604,subject 64,6,Btech CSE
TCS605,subject 65,6,Btech CSE
TCS701,subject 71,7,Btech CSE
TCS702,subject 72,7,Btech CSE
TCS703,subject 73,7,Btech CSE
TCS704,subject 74,7,Btech CSE
TCS705,subject 75,7,Btech CSE
TCS801,subject 81,8,Btech CSE
TCS802,subject 82,8,Btech CSE
TCS803,subject 83,8,Btech CSE
TCS804,subject 84,8,Btech CSE
TCS805,subject 85,8,Btech CSE
